date_scraped,search_page_num,chemical_name,chemical_page
2019-12-11 07:08:25.806498,243,LAURYLAMIDOPROPYL PG-DIMONIUM PHOSPHATE,https://www.ewg.org/skindeep/ingredients/732193-LAURYLAMIDOPROPYL_PGDIMONIUM_PHOSPHATE
2019-12-11 07:08:25.849559,243,PROPOXYLATED STEARYL ALCOHOL,https://www.ewg.org/skindeep/ingredients/732215-PROPOXYLATED_STEARYL_ALCOHOL
2019-12-11 07:08:25.889705,243,PEG-6 DIMETHICONE,https://www.ewg.org/skindeep/ingredients/732218-PEG6_DIMETHICONE
2019-12-11 07:08:25.929849,243,"HISTAMINE, DIHYDROCHLORIDE",https://www.ewg.org/skindeep/ingredients/732781-HISTAMINE_DIHYDROCHLORIDE
2019-12-11 07:08:25.970221,243,1-HEXADECENE,https://www.ewg.org/skindeep/ingredients/738665-1HEXADECENE
2019-12-11 07:08:26.082572,243,MANGANESE OXIDE,https://www.ewg.org/skindeep/ingredients/741770-MANGANESE_OXIDE
2019-12-11 07:08:26.120418,243,ALUMINUM HYDRIDE,https://www.ewg.org/skindeep/ingredients/755194-ALUMINUM_HYDRIDE
2019-12-11 07:08:26.167205,243,VITAMIN K2,https://www.ewg.org/skindeep/ingredients/756832-VITAMIN_K2
2019-12-11 07:08:26.206537,243,PHENOLS,https://www.ewg.org/skindeep/ingredients/803574-PHENOLS
2019-12-11 07:08:26.250450,243,TILIA EUROPAEA (LINDEN) LEAF EXTRACT,https://www.ewg.org/skindeep/ingredients/860854-TILIA_EUROPAEA_LINDEN_LEAF_EXTRACT
2019-12-11 07:08:26.311038,243,"Cyclopropanecarboxylic acid, 2-[1-(3,3-dimethylcyclohexyl)ethoxy]-2-methylpropyl ester",https://www.ewg.org/skindeep/ingredients/861236-Cyclopropanecarboxylic_acid_2133dimethylcyclohexylethoxy2methylpropyl_ester
2019-12-11 07:08:26.350218,243,EUCALYPTUS (EUCALYPTUS GRANDIS) OIL,https://www.ewg.org/skindeep/ingredients/861592-EUCALYPTUS_EUCALYPTUS_GRANDIS_OIL
2019-12-11 07:31:34.608252,244,ASTER TRIPOLIUM (SEA STARWORT OIL) EXTRACT,https://www.ewg.org/skindeep/ingredients/861619-ASTER_TRIPOLIUM_SEA_STARWORT_OIL_EXTRACT
2019-12-11 07:31:34.654588,244,OPUNTIA ERINACEA (pricklypear cactus),https://www.ewg.org/skindeep/ingredients/861630-OPUNTIA_ERINACEA_pricklypear_cactus
2019-12-11 07:31:34.698106,244,CETYL HYDROXYPROLINE PALMITATE,https://www.ewg.org/skindeep/ingredients/861774-CETYL_HYDROXYPROLINE_PALMITATE
2019-12-11 07:31:34.740659,244,VP/ HEXADECENE ACRYLATES/ VINYL ISODECANOATE CROSSPOLYMER,https://www.ewg.org/skindeep/ingredients/862017-VPHEXADECENE_ACRYLATESVINYL_ISODECANOATE_CROSSPOLYMER
2019-12-11 07:31:34.780313,244,POLYMETHYLSILSESQUIOXANE/ BENZIMIDZOLE/ DIAMOND COPOLYMER,https://www.ewg.org/skindeep/ingredients/862099-POLYMETHYLSILSESQUIOXANEBENZIMIDZOLEDIAMOND_COPOLYMER
2019-12-11 07:31:34.813667,244,KERAVIS REFLECTIVE LIPID EXTRACTS,https://www.ewg.org/skindeep/ingredients/862171-KERAVIS_REFLECTIVE_LIPID_EXTRACTS
2019-12-11 07:31:34.849021,244,HYDROLYZED LUPINUS ALBUS (LUPINE) PROTEIN,https://www.ewg.org/skindeep/ingredients/862210-HYDROLYZED_LUPINUS_ALBUS_LUPINE_PROTEIN
2019-12-11 07:31:34.881504,244,PYROGLUTAMYLAMIDOETHYL INDOLE,https://www.ewg.org/skindeep/ingredients/862236-PYROGLUTAMYLAMIDOETHYL_INDOLE
2019-12-11 07:31:34.914414,244,INFUSION OF ESSENTIAL OILS,https://www.ewg.org/skindeep/ingredients/862255-INFUSION_OF_ESSENTIAL_OILS
2019-12-11 07:31:34.947781,244,SEDUM DIVERGENS (STONE CROP),https://www.ewg.org/skindeep/ingredients/862263-SEDUM_DIVERGENS_STONE_CROP__
2019-12-11 07:31:34.980850,244,BENFOTIAMINE,https://www.ewg.org/skindeep/ingredients/862298-BENFOTIAMINE
2019-12-11 07:31:35.013981,244,ROSAMARINUS OFFICINALIS (ROSEMARY) FLOWER WATER,https://www.ewg.org/skindeep/ingredients/862304-ROSAMARINUS_OFFICINALIS_ROSEMARY_FLOWER_WATER
2019-12-11 07:31:35.479995,244,ROOIBOS (RED BUSH TEA) EXTRACT.,https://www.ewg.org/skindeep/ingredients/862312-ROOIBOS_RED_BUSH_TEA_EXTRACT
2019-12-11 07:31:35.536268,244,MARINE BIOACTIVE PEPTIDES,https://www.ewg.org/skindeep/ingredients/862342-MARINE_BIOACTIVE_PEPTIDES
